dataset,NumberOfInstances,LogNumberOfInstances,NumberOfFeatures,LogNumberOfFeatures,Dimensionality,LogDimensionality,InverseDimensionality,LogInverseDimensionality,NumberOfClasses,NumberOfCategoricalFeatures,PercentageOfCategoricalFeatures,NumberOfNumericFeatures,PercentageOfNumericFeatures,RatioNumericalToNominal,RatioNominalToNumerical,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD,NumberOfBinaryFeatures,SymbolsMin,SymbolsMax,SymbolsMean,SymbolsSTD,SymbolsSum,NumberOfMissingValues,PercentageOfMissingValues,NumberOfInstancesWithMissingValues,PercentageOfInstancesWithMissingValues,NumberOfFeaturesWithMissingValues,PercentageOfFeaturesWithMissingValues,MajorityClassSize,MajorityClassPercentage,SimpleFeatureTime,KurtosisMin,KurtosisMax,KurtosisMean,KurtosisSTD,SkewnessMin,SkewnessMax,SkewnessMean,SkewnessSTD,MeanSTDOfNumerical,STDSTDOfNumerical,MeanMeansOfNumerical,StatisticalFeatureTime,ClassEntropy,MeanFeatureEntropy,MeanMutualInformation,EquivalentNumberOfAttributes,NoiseToSignalRatio,ITFeatureTime,TotalFeatureTime
AP_Omentum_Lung.arff,203,5.313205979,10937,9.299906815,53.87684729,3.986700836,0.018560848,-3.986700836,2,0,0,10936,100,0,0,0.379310345,0.620689655,0.5,0.120689655,0,0,0,0,0,0,0,0,0,0,0,0,126,62.06896552,0.07581545,-1.270275077,197.8195346,17.4654852,30.43767771,-0.122783728,14.13247395,2.766332198,2.437643419,1868.167895,3374.374528,3421.303977,14.95930292,-1,-1,-1,-1,-1,-1,15.03511837
AP_Omentum_Ovary.arff,275,5.616771098,10937,9.299906815,39.77090909,3.683135718,0.025144007,-3.683135718,2,0,0,10936,100,0,0,0.28,0.72,0.5,0.22,0,0,0,0,0,0,0,0,0,0,0,0,198,72,0.106304901,-0.556529106,269.950914,23.6896217,44.56094774,-0.165354207,16.49012947,3.105184769,2.960483847,2099.894048,7080.390233,3483.198789,15.70055353,-1,-1,-1,-1,-1,-1,15.80685843
AP_Omentum_Uterus.arff,201,5.303304908,10937,9.299906815,54.41293532,3.996601907,0.018377983,-3.996601907,2,0,0,10936,100,0,0,0.383084577,0.616915423,0.5,0.116915423,0,0,0,0,0,0,0,0,0,0,0,0,124,61.69154229,0.090933063,-0.79685814,195.8730295,16.55307787,29.59582296,-0.248985708,14.06436825,2.670614277,2.400257525,1774.642539,3131.583401,3432.156435,14.98824414,-1,-1,-1,-1,-1,-1,15.0791772
AP_Ovary_Uterus.arff,322,5.774551546,10937,9.299906815,33.96583851,3.52535527,0.029441346,-3.52535527,2,0,0,10936,100,0,0,0.385093168,0.614906832,0.5,0.114906832,0,0,0,0,0,0,0,0,0,0,0,0,198,61.49068323,0.117277172,-0.702369141,316.9275296,25.6708966,48.56383916,-0.223105624,17.8574791,3.197049851,3.047043598,2062.406131,6609.955729,3464.688723,15.28885514,-1,-1,-1,-1,-1,-1,15.40613231
AP_Prostate_Kidney.arff,329,5.796057751,10937,9.299906815,33.24316109,3.503849065,0.030081375,-3.503849065,2,0,0,10936,100,0,0,0.209726444,0.790273556,0.5,0.290273556,0,0,0,0,0,0,0,0,0,0,0,0,260,79.02735562,0.120949596,-1.379697827,323.7641015,19.88605408,42.41414827,-0.483523399,18.04563904,2.720714173,2.772359825,1780.357784,3202.482991,3320.47575,15.94005931,-1,-1,-1,-1,-1,-1,16.0610089
AP_Prostate_Uterus.arff,193,5.262690189,10937,9.299906815,56.66839378,4.037216626,0.017646521,-4.037216626,2,0,0,10936,100,0,0,0.357512953,0.642487047,0.5,0.142487047,0,0,0,0,0,0,0,0,0,0,0,0,124,64.24870466,0.072493569,-1.338368814,187.7099554,14.71792649,27.13107287,-0.479665548,13.76813984,2.497806117,2.275927744,1742.779188,3010.686409,3392.179682,15.04722794,-1,-1,-1,-1,-1,-1,15.11972151
AP_Uterus_Kidney.arff,384,5.950642553,10937,9.299906815,28.48177083,3.349264263,0.035110176,-3.349264263,2,0,0,10936,100,0,0,0.322916667,0.677083333,0.5,0.177083333,0,0,0,0,0,0,0,0,0,0,0,0,260,67.70833333,0.1398928,-1.232570832,378.7261304,24.42426531,49.02180336,-0.256837785,19.50868034,3.069995189,3.011464601,1849.266667,3200.142215,3332.362264,15.4868313,-1,-1,-1,-1,-1,-1,15.6267241
ar1.arff,121,4.795790546,30,3.401197382,0.247933884,-1.394593164,4.033333333,1.394593164,2,0,0,29,100,0,0,0.074380165,0.925619835,0.5,0.425619835,0,0,0,0,0,0,0,0,0,0,0,0,112,92.56198347,0.004918672,-1.134144574,45.41981433,7.690281055,9.646363737,0.003909943,6.405305862,2.220180787,1.323343364,231.3190767,1074.085571,119.6140302,0.054188293,-1,-1,-1,-1,-1,-1,0.059106965
ar4.arff,107,4.672828834,30,3.401197382,0.280373832,-1.271631453,3.566666667,1.271631453,2,0,0,29,100,0,0,0.186915888,0.813084112,0.5,0.313084112,0,0,0,0,0,0,0,0,0,0,0,0,87,81.30841122,0.001427441,-0.185591635,44.18275552,17.47393909,13.20836175,-0.443244338,6.685528755,3.310167505,1.796762729,1483.824928,7145.041841,594.8054,0.022852877,-1,-1,-1,-1,-1,-1,0.024280319
ar5.arff,36,3.583518938,30,3.401197382,0.833333333,-0.182321557,1.2,0.182321557,2,0,0,29,100,0,0,0.222222222,0.777777778,0.5,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,28,77.77777778,0.001447574,-0.541854905,14.9145977,5.638101011,3.272832426,0.21281074,3.650631189,2.103565838,0.691641256,2107.628849,10192.94005,1162.289659,0.023044334,-1,-1,-1,-1,-1,-1,0.024491908
ar6.arff,101,4.615120517,30,3.401197382,0.297029703,-1.213923135,3.366666667,1.213923135,2,0,0,29,100,0,0,0.148514851,0.851485149,0.5,0.351485149,0,0,0,0,0,0,0,0,0,0,0,0,86,85.14851485,0.001723114,-0.394076111,46.29820537,11.83941901,17.14528407,0.257635742,6.935419559,2.738884797,2.145369166,234.5563203,793.351203,119.255076,0.027013221,-1,-1,-1,-1,-1,-1,0.028736335
arsenic-female-bladder.arff,559,6.326149473,5,1.609437912,0.008944544,-4.716711561,111.8,4.716711561,2,1,25,3,75,3,0.333333333,0.143112701,0.856887299,0.5,0.356887299,0,43,43,43,0,43,0,0,0,0,0,0,479,85.68872987,0.001866016,-1.214285714,105.8380956,34.52245109,50.42781701,0,9.651288033,3.363848587,4.449522656,60355.63404,85159.07448,7930.948252,0.002823697,-1,-1,-1,-1,-1,-1,0.004689713
arsenic-female-lung.arff,559,6.326149473,5,1.609437912,0.008944544,-4.716711561,111.8,4.716711561,2,1,25,3,75,3,0.333333333,0.033989267,0.966010733,0.5,0.466010733,0,43,43,43,0,43,0,0,0,0,0,0,540,96.60107335,0.001801671,-1.214285714,105.8380956,34.52245109,50.42781701,0,9.651288033,3.363848587,4.449522656,60355.63404,85159.07448,7930.948252,0.002805933,-1,-1,-1,-1,-1,-1,0.004607604
arsenic-male-bladder.arff,559,6.326149473,5,1.609437912,0.008944544,-4.716711561,111.8,4.716711561,2,1,25,3,75,3,0.333333333,0.04293381,0.95706619,0.5,0.45706619,0,43,43,43,0,43,0,0,0,0,0,0,535,95.70661896,0.002001418,-1.214285714,104.0734256,33.93422776,49.59594428,0,9.600136757,3.346798162,4.425429501,69504.61321,98097.67741,9034.430674,0.002854093,-1,-1,-1,-1,-1,-1,0.004855511
arsenic-male-lung.arff,559,6.326149473,5,1.609437912,0.008944544,-4.716711561,111.8,4.716711561,2,1,25,3,75,3,0.333333333,0.023255814,0.976744186,0.5,0.476744186,0,43,43,43,0,43,0,0,0,0,0,0,546,97.6744186,0.001820619,-1.214285714,104.0734256,33.93422776,49.59594428,0,9.600136757,3.346798162,4.425429501,69504.61321,98097.67741,9034.430674,0.002855672,-1,-1,-1,-1,-1,-1,0.004676291
audiology.arff,226,5.420534999,70,4.248495242,0.309734513,-1.172039757,3.228571429,1.172039757,2,69,100,0,0,0,0,0.252212389,0.747787611,0.5,0.247787611,60,2,224,6.826086957,27.92586278,471,317,2.003792668,222,98.2300885,7,3.097345133,169,74.77876106,0.01012078,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.814765885,1.62622,0.015517992,52.50459411,103.7957035,0.062141462,0.072262242
auto93.arff,93,4.532599493,23,3.135494216,0.247311828,-1.397105277,4.043478261,1.397105277,2,6,27.27272727,16,72.72727273,2.666666667,0.375,0.376344086,0.623655914,0.5,0.123655914,2,2,31,7.833333333,10.44695596,47,14,0.654511454,11,11.82795699,3,3.225806452,58,62.3655914,0.002309723,-1,-1,-1,-1,-1,-1,-1,-1,111.1183563,215.9129049,709.2263569,0.013302916,0.955418991,3.83834,0.109404462,8.732906969,34.08392455,0.00529606,0.020908699
autoHorse.arff,205,5.323009979,26,3.258096538,0.126829268,-2.064913441,7.884615385,2.064913441,2,8,32,17,68,2.125,0.470588235,0.404878049,0.595121951,0.5,0.095121951,3,2,22,6.375,6.303520842,51,57,1.069418386,46,22.43902439,6,2.926829268,122,59.51219512,0.00296502,-1,-1,-1,-1,-1,-1,-1,-1,532.1094661,1855.515981,1271.202742,0.014626141,0.973732646,4.06021,0.12788775,7.613963395,30.74826772,0.006812321,0.024403483
autoMpg.arff,398,5.986452005,8,2.079441542,0.020100503,-3.907010464,49.75,3.907010464,2,3,42.85714286,4,57.14285714,1.333333333,0.75,0.474874372,0.525125628,0.5,0.025125628,0,3,13,7,4.320493799,21,6,0.188442211,6,1.507537688,1,0.251256281,209,52.51256281,0.00198997,-1,-1,-1,-1,-1,-1,-1,-1,247.7779846,347.1646349,820.9719775,0.003835854,0.998177694,5.43842,0.23207589,4.301083122,22.4338198,0.002752246,0.00857807
autoPrice.arff,159,5.068904202,16,2.772588722,0.100628931,-2.29631548,9.9375,2.29631548,2,0,0,15,100,0,0,0.339622642,0.660377358,0.5,0.160377358,0,0,0,0,0,0,0,0,0,0,0,0,105,66.03773585,0.001414809,-0.83501551,5.509808333,0.886852557,1.564640106,-0.983349919,2.684605122,0.621462793,0.786795726,72.01481344,157.472335,558.4927945,0.012869868,-1,-1,-1,-1,-1,-1,0.014284677
autos.arff,205,5.323009979,26,3.258096538,0.126829268,-2.064913441,7.884615385,2.064913441,2,10,40,15,60,1.5,0.666666667,0.326829268,0.673170732,0.5,0.173170732,3,2,22,6.2,5.688585061,62,59,1.106941839,46,22.43902439,7,3.414634146,138,67.31707317,0.002900674,-1,-1,-1,-1,-1,-1,-1,-1,605.4776322,1963.769827,1447.090999,0.013584378,0.911653998,4.56128,0.062010472,14.70161363,72.55666638,0.009574831,0.026059883
auto_price.arff,159,5.068904202,16,2.772588722,0.100628931,-2.29631548,9.9375,2.29631548,2,1,6.666666667,14,93.33333333,14,0.071428571,0.339622642,0.660377358,0.5,0.160377358,0,6,6,6,0,6,0,0,0,0,0,0,105,66.03773585,0.001682849,-0.83501551,5.509808333,0.989432486,1.57007109,-0.983349919,2.684605122,0.659134988,0.801234847,77.0737767,161.8174659,598.3325763,0.012187727,-1,-1,-1,-1,-1,-1,0.013870577
backache.arff,180,5.192956851,33,3.496507561,0.183333333,-1.696449289,5.454545455,1.696449289,2,26,81.25,6,18.75,0.230769231,4.333333333,0.138888889,0.861111111,0.5,0.361111111,22,2,10,2.730769231,1.952467715,71,0,0,0,0,0,0,155,86.11111111,0.005038284,-1.200074189,4.456500686,0.542870612,1.855064209,-3.96E-08,0.776369154,0.417885319,0.290490773,13.24225111,17.81960598,41.94409317,0.005294481,0.581321499,2.97799,0.011178303,52.0044513,265.4078017,0.022481411,0.032814175
badges2.arff,294,5.683579767,12,2.48490665,0.040816327,-3.198673118,24.5,3.198673118,2,3,27.27272727,8,72.72727273,2.666666667,0.375,0.285714286,0.714285714,0.5,0.214285714,3,2,2,2,0,6,0,0,0,0,0,0,210,71.42857143,0.001996681,-1.200027815,4.418716469,0.833154246,1.497583702,4.45E-08,1.608952522,0.907336602,0.58441638,11.5666687,27.71913142,22.30426018,0.007094178,0.863120569,4.55997,0.227213822,3.798715067,19.06905026,0.002708033,0.011798892
balance-scale.arff,625,6.43775165,5,1.609437912,0.008,-4.828313737,125,4.828313737,2,0,0,4,100,0,0,0.4608,0.5392,0.5,0.0392,0,0,0,0,0,0,0,0,0,0,0,0,337,53.92,0.001532841,-1.299999952,-1.299999952,-1.299999952,0,0,0,0,0,1.414213538,0,3,0.003596236,-1,-1,-1,-1,-1,-1,0.005129078
balloon.arff,2001,7.601402335,3,1.098612289,0.00149925,-6.502790046,667,6.502790046,2,0,0,2,100,0,0,0.24087956,0.75912044,0.5,0.25912044,0,0,0,0,0,0,0,0,0,0,0,0,1519,75.91204398,0.002278537,-1.200000743,16.92143894,7.860719097,9.06071984,-2.914156675,0,-1.457078338,1.457078338,288.9059286,288.7321329,501.5478997,0.004340748,-1,-1,-1,-1,-1,-1,0.006619285
bank32nh.arff,8192,9.010913347,33,3.496507561,0.00402832,-5.514405786,248.2424242,5.514405786,2,0,0,32,100,0,0,0.310424805,0.689575195,0.5,0.189575195,0,0,0,0,0,0,0,0,0,0,0,0,5649,68.95751953,0.009934849,-1.308445889,8.884202831,0.936530898,3.337012819,-0.023087764,2.234008074,0.620453604,0.891564859,0.967532448,0.792844923,1.201458237,0.038726056,-1,-1,-1,-1,-1,-1,0.048660905
bank8FM.arff,8192,9.010913347,9,2.197224577,0.001098633,-6.81368877,910.2222222,6.81368877,2,0,0,8,100,0,0,0.403686523,0.596313477,0.5,0.096313477,0,0,0,0,0,0,0,0,0,0,0,0,4885,59.63134766,0.004140606,-1.378674379,6.864612794,0.695800197,3.212984761,-0.375639796,2.117932558,0.469322341,0.923748378,1.082676439,1.190501601,1.654424277,0.00973076,-1,-1,-1,-1,-1,-1,0.013871366
baskball.arff,96,4.564348191,5,1.609437912,0.052083333,-2.954910279,19.2,2.954910279,2,0,0,4,100,0,0,0.489583333,0.510416667,0.5,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,49,51.04166667,0.001323225,-1.257268296,2.964745051,0.197783038,1.630970809,-1.166431904,0.421121716,-0.134558877,0.627101543,4.716899681,3.295512285,60.93006212,0.003555182,-1,-1,-1,-1,-1,-1,0.004878407
biomed.arff,209,5.342334252,9,2.197224577,0.043062201,-3.145109675,23.22222222,3.145109675,2,1,12.5,7,87.5,7,0.142857143,0.358851675,0.641148325,0.5,0.141148325,0,7,7,7,0,7,15,0.797448166,15,7.177033493,2,0.956937799,134,64.11483254,0.001661927,-1,-1,-1,-1,-1,-1,-1,-1,4224.769527,10153.45441,9607.61865,0.005865694,-1,-1,-1,-1,-1,-1,0.007527621
bodyfat.arff,252,5.529429088,15,2.708050201,0.05952381,-2.821378886,16.8,2.821378886,2,0,0,14,100,0,0,0.492063492,0.507936508,0.5,0.007936508,0,0,0,0,0,0,0,0,0,0,0,0,128,50.79365079,0.001644952,-0.431939452,58.34571447,6.624450216,14.70625696,-5.352882385,2.241688967,0.255200008,1.670943002,6.402530458,7.327498088,59.03974623,0.012147857,-1,-1,-1,-1,-1,-1,0.013792809
bolts.arff,40,3.688879454,8,2.079441542,0.2,-1.609437912,5,1.609437912,2,0,0,7,100,0,0,0.35,0.65,0.5,0.15,0,0,0,0,0,0,0,0,0,0,0,0,26,65,0.001841541,-1.750000019,0.941106668,-0.992833365,1.053952268,-1.124302387,1.407031655,0.040389895,0.679534981,9.466493854,12.98952099,12.9695707,0.00582306,-1,-1,-1,-1,-1,-1,0.007664602
boston.arff,506,6.226536669,14,2.63905733,0.027667984,-3.58747934,36.14285714,3.58747934,2,2,15.38461538,11,84.61538462,5.5,0.181818182,0.413043478,0.586956522,0.5,0.086956522,1,2,9,5.5,3.5,11,0,0,0,0,0,0,297,58.69565217,0.001993523,-1.233218869,36.75277282,4.269923863,10.55228579,-2.881798744,5.207651615,0.650182654,1.901025737,30.7872956,50.23169462,81.94032825,0.009440219,0.978070971,4.81227,0.047718341,20.49675128,99.84748994,0.00191694,0.013350682
boston_corrected.arff,506,6.226536669,21,3.044522438,0.041501976,-3.182014232,24.0952381,3.182014232,2,3,15,17,85,5.666666667,0.176470588,0.440711462,0.559288538,0.5,0.059288538,1,2,92,34.33333333,40.87650779,103,0,0,0,0,0,0,283,55.92885375,0.002267879,-1.317064183,36.75277282,2.759699236,8.764514759,-2.881798744,5.207651615,0.457292777,1.585195758,111.9005614,320.6851376,229.7823264,0.015495002,0.989833574,5.20393,0.179456504,5.515729719,27.99828233,0.003335697,0.021098577
breast-cancer.arff,286,5.655991811,10,2.302585093,0.034965035,-3.353406718,28.6,3.353406718,2,9,100,0,0,0,0,0.297202797,0.702797203,0.5,0.202797203,2,2,11,5.555555556,3.1661793,50,9,0.314685315,9,3.146853147,2,0.699300699,201,70.27972028,0.002675663,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.877844695,5.21186,0.023393034,37.52590103,221.7954897,0.008437141,0.011112804
breast-w.arff,699,6.549650742,10,2.302585093,0.014306152,-4.247065649,69.9,4.247065649,2,0,0,9,100,0,0,0.344778255,0.655221745,0.5,0.155221745,0,0,0,0,0,0,16,0.228898426,16,2.288984263,1,0.143061516,458,65.52217454,0.001699429,-0.627833821,12.5589481,-1,-1,0.591585815,3.553012848,-1,-1,2.749102301,0.52685294,3.135704094,0.008363716,-1,-1,-1,-1,-1,-1,0.010063145
breastTumor.arff,286,5.655991811,10,2.302585093,0.034965035,-3.353406718,28.6,3.353406718,2,8,88.88888889,1,11.11111111,0.125,8,0.41958042,0.58041958,0.5,0.08041958,3,2,18,5.75,5.309190145,46,9,0.314685315,9,3.146853147,2,0.699300699,166,58.04195804,0.002615265,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.98125799,4.70444,0.01979168,49.57931697,236.6976706,0.007660654,0.010275919
bridges.arff,107,4.672828834,13,2.564949357,0.121495327,-2.107879477,8.230769231,2.107879477,2,9,75,3,25,0.333333333,3,0.411214953,0.588785047,0.5,0.088785047,0,4,107,23.55555556,33.31703305,212,71,5.104241553,37,34.57943925,8,7.476635514,63,58.87850467,0.002680005,-1,-1,-1,-1,-1,-1,-1,-1,260.3951264,341.4728135,1158.444398,0.002757772,0.977134029,4.19378,0.169731175,5.756950817,23.70838812,0.00781382,0.013251598
cal_housing.arff,20640,9.93498622,9,2.197224577,0.000436047,-7.737761642,2293.333333,7.737761642,2,0,0,8,100,0,0,0.40625,0.59375,0.5,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,12255,59.375,0.008089755,-1.330123659,73.535007,18.97879875,23.93991018,-0.297771662,4.935499668,2.22757038,1.885218999,517.0209327,726.8828582,630.9059097,0.011227284,-1,-1,-1,-1,-1,-1,0.019317039
car.arff,1728,7.454719949,7,1.945910149,0.004050926,-5.5088098,246.8571429,5.5088098,2,6,100,0,0,0,0,0.299768519,0.700231481,0.5,0.200231481,0,3,4,3.5,0.5,21,0,0,0,0,0,0,1210,70.02314815,0.002975678,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.881007754,7.03623,0.060706491,14.51257916,114.9056663,0.006502832,0.00947851
cars.arff,406,6.00635316,9,2.197224577,0.022167488,-3.809128582,45.11111111,3.809128582,2,2,25,6,75,3,0.333333333,0.374384236,0.625615764,0.5,0.125615764,0,5,312,158.5,153.5,317,14,0.383141762,14,3.448275862,2,0.492610837,254,62.56157635,0.001896018,-1,-1,-1,-1,-1,-1,-1,-1,167.3039997,305.5783762,565.7052215,0.005180396,0.953979039,5.80653,0.458781529,2.079375429,11.6564256,0.002057868,0.009134282
chatfield_4.arff,235,5.459585514,13,2.564949357,0.055319149,-2.894636157,18.07692308,2.894636157,2,0,0,12,100,0,0,0.395744681,0.604255319,0.5,0.104255319,0,0,0,0,0,0,0,0,0,0,0,0,142,60.42553191,0.00142981,-1.200043592,1.965086826,0.681283881,0.781122282,0,1.299026847,0.980959942,0.322881816,45.31360086,6.923804862,202.4730857,0.010134596,-1,-1,-1,-1,-1,-1,0.011564406
cholesterol.arff,303,5.713732806,14,2.63905733,0.04620462,-3.074675476,21.64285714,3.074675476,2,7,53.84615385,6,46.15384615,0.857142857,1.166666667,0.452145215,0.547854785,0.5,0.047854785,3,2,5,3,1.069044968,21,6,0.141442716,6,1.98019802,2,0.660066007,166,54.78547855,0.002816591,-1,-1,-1,-1,-1,-1,-1,-1,8.792194158,8.675664856,56.39751861,0.005170922,0.993382099,5.23925,0.00695367,142.8572346,752.4504398,0.006089521,0.014077034
chscase_adopt.arff,39,3.663561646,4,1.386294361,0.102564103,-2.277267285,9.75,2.277267285,2,1,33.33333333,2,66.66666667,2,0.5,0.307692308,0.692307692,0.5,0.192307692,0,39,39,39,0,39,0,0,0,0,0,0,27,69.23076923,0.001586134,12.90294893,30.72450036,21.81372465,8.910775719,3.611349583,5.597676277,4.60451293,0.993163347,636.0460358,146.1877289,229.384613,0.001937467,-1,-1,-1,-1,-1,-1,0.003523601
chscase_census2.arff,400,5.991464547,8,2.079441542,0.02,-3.912023005,50,3.912023005,2,0,0,7,100,0,0,0.4925,0.5075,0.5,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,203,50.75,0.001432573,0.470281338,12.64774544,4.494516621,4.62048974,0.48549217,2.670675516,1.313914623,0.826900936,5.219676256,3.98717502,19.96645246,0.006590073,-1,-1,-1,-1,-1,-1,0.008022646
chscase_census3.arff,400,5.991464547,8,2.079441542,0.02,-3.912023005,50,3.912023005,2,0,0,7,100,0,0,0.48,0.52,0.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,208,52,0.003265035,-0.349030471,1.542373886,0.279142507,0.559141795,-0.503002524,0.126624182,-0.039493489,0.203743605,0.09910519,0.073239471,4.233054638,0.013715437,-1,-1,-1,-1,-1,-1,0.016980472
chscase_census5.arff,400,5.991464547,8,2.079441542,0.02,-3.912023005,50,3.912023005,2,0,0,7,100,0,0,0.4825,0.5175,0.5,0.0175,0,0,0,0,0,0,0,0,0,0,0,0,207,51.75,0.002387885,-0.437382104,7.960341627,1.183993255,2.78477342,-1.448409677,0.294988543,-0.103145637,0.563461189,0.107195563,0.07552159,4.239122186,0.008726893,-1,-1,-1,-1,-1,-1,0.011114778
chscase_census6.arff,400,5.991464547,7,1.945910149,0.0175,-4.045554398,57.14285714,4.045554398,2,0,0,6,100,0,0,0.4125,0.5875,0.5,0.0875,0,0,0,0,0,0,0,0,0,0,0,0,235,58.75,0.001458232,2.989782687,44.05709811,21.21808657,14.77321222,1.733106613,5.396282196,3.602232734,1.338693387,6.465437889,2.397249933,10.87503115,0.008323056,-1,-1,-1,-1,-1,-1,0.009781289
chscase_funds.arff,185,5.220355825,4,1.386294361,0.021621622,-3.834061464,46.25,3.834061464,2,1,33.33333333,2,66.66666667,2,0.5,0.47027027,0.52972973,0.5,0.02972973,0,185,185,185,0,185,0,0,0,0,0,0,98,52.97297297,0.001695087,-1.242112654,0.978296725,-0.131907964,1.11020469,-0.153294116,0.668698192,0.257702038,0.410996154,1327.130929,1325.12371,7470.267776,0.001947731,-1,-1,-1,-1,-1,-1,0.003642818
chscase_geyser1.arff,222,5.402677382,3,1.098612289,0.013513514,-4.304065093,74,4.304065093,2,0,0,2,100,0,0,0.396396396,0.603603604,0.5,0.103603604,0,0,0,0,0,0,0,0,0,0,0,0,134,60.36036036,0.001590081,-1.682389789,-1.192029842,-1.437209815,0.245179974,-0.594530642,-0.061459329,-0.327994986,0.266535657,4.463197529,3.381691158,7.936711907,0.002133662,-1,-1,-1,-1,-1,-1,0.003723743
chscase_health.arff,50,3.912023005,5,1.609437912,0.1,-2.302585093,10,2.302585093,2,2,50,2,50,1,1,0.48,0.52,0.5,0.02,0,9,50,29.5,20.5,59,0,0,0,0,0,0,26,52,0.002094975,-1.310420143,0.354429975,-0.477995084,0.832425059,-0.114469439,-0.040370971,-0.077420205,0.037049234,112.755159,110.1370682,892.0900097,0.002598291,0.998845536,3.70248,0.436420195,2.288724371,7.483742922,0.001784302,0.006477568
chscase_vine1.arff,52,3.951243719,10,2.302585093,0.192307692,-1.648658626,5.2,1.648658626,2,0,0,9,100,0,0,0.461538462,0.538461538,0.5,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,28,53.84615385,0.001352043,-1.200888056,0.411225525,-0.455617354,0.511919109,-0.670945168,0.487282068,-0.042961205,0.405372512,4.528628508,3.850188468,10.03472217,0.008322662,-1,-1,-1,-1,-1,-1,0.009674704
chscase_vine2.arff,468,6.148468296,3,1.098612289,0.006410256,-5.049856007,156,5.049856007,2,0,0,2,100,0,0,0.452991453,0.547008547,0.5,0.047008547,0,0,0,0,0,0,0,0,0,0,0,0,256,54.7008547,0.001374149,-1.229999973,-1.20088821,-1.215444092,0.014555881,0,0,0,0,8.795160055,6.213171244,1006.75,0.002373279,-1,-1,-1,-1,-1,-1,0.003747428
chscase_whale.arff,228,5.429345629,10,2.302585093,0.043859649,-3.126760536,22.8,3.126760536,2,0,0,9,100,0,0,0.486842105,0.513157895,0.5,0.013157895,0,0,0,0,0,0,20,0.877192982,5,2.192982456,4,1.754385965,117,51.31578947,0.0014381,-1,-1,-1,-1,-1,-1,-1,-1,48.36204733,60.47553639,84.18799241,0.007678813,-1,-1,-1,-1,-1,-1,0.009116913
cleveland.arff,303,5.713732806,14,2.63905733,0.04620462,-3.074675476,21.64285714,3.074675476,2,7,53.84615385,6,46.15384615,0.857142857,1.166666667,0.458745875,0.541254125,0.5,0.041254125,3,2,5,3,1.069044968,21,6,0.141442716,6,1.98019802,2,0.660066007,164,54.12541254,0.002531971,-1,-1,-1,-1,-1,-1,-1,-1,17.20301025,17.36977467,97.35681457,0.005504886,0.995083759,5.23925,0.073867646,13.47117202,69.9274792,0.006102548,0.014139406
cmc.arff,1473,7.295056416,10,2.302585093,0.006788866,-4.992471323,147.3,4.992471323,2,7,77.77777778,2,22.22222222,0.285714286,3.5,0.427019688,0.572980312,0.5,0.072980312,3,2,4,3.142857143,0.989743319,22,0,0,0,0,0,0,844,57.29803123,0.003673214,-0.944764362,1.520347863,0.28779175,1.232556112,0.256188035,1.097894311,0.677041173,0.420853138,5.291096687,2.933353424,17.89986408,0.002109581,0.984577011,6.74197,0.010495063,93.81335118,641.3948566,0.007641311,0.013424106
colic.arff,368,5.908082938,23,3.135494216,0.0625,-2.772588722,16,2.772588722,2,15,68.18181818,7,31.81818182,0.466666667,2.142857143,0.369565217,0.630434783,0.5,0.130434783,1,2,197,80.13333333,56.42796785,1202,1927,22.76701323,361,98.09782609,21,5.706521739,232,63.04347826,0.003692952,-1,-1,-1,-1,-1,-1,-1,-1,12.68853509,11.09671405,31.10742167,0.006626391,0.95033767,4.93302,0.047432323,20.03565506,103.0012631,0.013305285,0.023624627
colleges_aaup.arff,1161,7.057036982,17,2.833213344,0.01464255,-4.223823638,68.29411765,4.223823638,2,3,18.75,13,81.25,4.333333333,0.230769231,0.299741602,0.700258398,0.5,0.200258398,0,4,1140,398.6666667,524.5679704,1196,256,1.29705629,87,7.493540052,6,0.516795866,813,70.02583979,0.002884884,-1,-1,-1,-1,-1,-1,-1,-1,270.4883366,618.7480802,550.7556299,0.012572221,0.880974806,6.86728,0.325054666,2.710235841,20.12653144,0.003344381,0.018801486
colleges_usnews.arff,1302,7.171656823,35,3.555348061,0.02688172,-3.616308761,37.2,3.616308761,2,2,5.882352941,32,94.11764706,16,0.0625,0.471582181,0.528417819,0.5,0.028417819,0,51,1274,662.5,611.5,1325,7830,17.18235681,1144,87.86482335,30,2.304147465,688,52.84178187,0.00357413,-1,-1,-1,-1,-1,-1,-1,-1,1116.655436,1669.740109,1716.368837,0.030484319,0.997668582,6.99055,0.376566408,2.64938285,17.56392239,0.002816196,0.036874646
