dataset,#Instances,Log#Instances,#Features,Log#Features,Dimensionality,LogDimensionality,InverseDimensionality,LogInverseDimensionality,#Classes,#CategoricalFeatures,%CategoricalFeatures,#NumericFeatures,%NumericFeatures,RatioNumericalToNominal,RatioNominalToNumerical,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD,#BinaryFeatures,SymbolsMin,SymbolsMax,SymbolsMean,SymbolsSTD,SymbolsSum,#MissingValues,%MissingValues,#InstancesWithMissingValues,%InstancesWithMissingValues,#FeaturesWithMissingValues,%FeaturesWithMissingValues,MajorityClassSize,MajorityClassPercentage,SimpleFeatureTime,KurtosisMin,KurtosisMax,KurtosisMean,KurtosisSTD,SkewnessMin,SkewnessMax,SkewnessMean,SkewnessSTD,MeanSTDOfNumerical,STDSTDOfNumerical,MeanMeansOfNumerical,StatisticalFeatureTime,ClassEntropy,MeanFeatureEntropy,MeanMutualInformation,EquivalentNumberOfAttributes,NoiseToSignalRatio,ITFeatureTime,TotalFeatureTime,DecisionTreeGiniDepth1Accuracy,DecisionTreeGiniDepth1TimeSum,DecisionTreeGiniDepth1TimeMean,DecisionTreeEntropyDepth1Accuracy,DecisionTreeEntropyDepth1TimeSum,DecisionTreeEntropyDepth1TimeMean,DecisionTreeGiniDepth2Accuracy,DecisionTreeGiniDepth2TimeSum,DecisionTreeGiniDepth2TimeMean,DecisionTreeEntropyDepth2Accuracy,DecisionTreeEntropyDepth2TimeSum,DecisionTreeEntropyDepth2TimeMean,DecisionTreeGiniDepth4Accuracy,DecisionTreeGiniDepth4TimeSum,DecisionTreeGiniDepth4TimeMean,DecisionTreeEntropyDepth4Accuracy,DecisionTreeEntropyDepth4TimeSum,DecisionTreeEntropyDepth4TimeMean,DecisionTreeGiniAccuracy,DecisionTreeGiniTimeSum,DecisionTreeGiniTimeMean,GaussianNBAccuracy,GaussianNBTimeSum,GaussianNBTimeMean,1NNAccuracy,1NNTimeSum,1NNTimeMean
bodyfat.arff,252,5.529429088,15,2.708050201,0.05952381,-2.821378886,16.8,2.821378886,2,0,0,14,100,0,0,0.492063492,0.507936508,0.5,0.007936508,0,0,0,0,0,0,0,0,0,0,0,0,128,50.79365079,0.001643767,-0.431939452,58.34571447,6.624450216,14.70625696,-5.352882385,2.241688967,0.255200008,1.670943002,6.402530458,7.327498088,59.03974623,0.012750246,-1,-1,-1,-1,-1,-1,0.014394013,1,0.006366241,0.000636624,1,0.008122119,0.000812212,1,0.006526907,0.000652691,1,0.01009906,0.001009906,1,0.010467368,0.001046737,1,0.012665768,0.001266577,1,0.010453552,0.001045355,0.809803922,0.01482035,0.001482035,0.725490196,0.020821836,0.002082184
boston.arff,506,6.226536669,14,2.63905733,0.027667984,-3.58747934,36.14285714,3.58747934,2,2,15.38461538,11,84.61538462,5.5,0.181818182,0.413043478,0.586956522,0.5,0.086956522,1,2,9,5.5,3.5,11,0,0,0,0,0,0,297,58.69565217,0.003343589,-1.233218869,36.75277282,4.269923863,10.55228579,-2.881798744,5.207651615,0.650182654,1.901025737,30.7872956,50.23169462,81.94032825,0.019896921,0.978070971,4.81227,0.047718341,20.49675128,99.84748994,0.003779795,0.027020305,0.834313725,0.009394814,0.000939481,0.832352941,0.010355257,0.001035526,0.851960784,0.014101498,0.00141015,0.843137255,0.020304705,0.00203047,0.868627451,0.018065645,0.001806564,0.861764706,0.026243819,0.002624382,0.841176471,0.02707794,0.002707794,0.768627451,0.008891894,0.000889189,0.778431373,0.027341637,0.002734164
boston_corrected.arff,506,6.226536669,21,3.044522438,0.041501976,-3.182014232,24.0952381,3.182014232,2,3,15,17,85,5.666666667,0.176470588,0.440711462,0.559288538,0.5,0.059288538,1,2,92,34.33333333,40.87650779,103,0,0,0,0,0,0,283,55.92885375,0.00267724,-1.317064183,36.75277282,2.759699236,8.764514759,-2.881798744,5.207651615,0.457292777,1.585195758,111.9005614,320.6851376,229.7823264,0.016283318,0.989833574,5.20393,0.179456504,5.515729719,27.99828233,0.003329773,0.022290331,0.824509804,0.009941158,0.000994116,0.808823529,0.016014884,0.001601488,0.835294118,0.014851141,0.001485114,0.816666667,0.025867616,0.002586762,0.82745098,0.024362409,0.002436241,0.838235294,0.041149042,0.004114904,0.830392157,0.031997398,0.00319974,0.818627451,0.00947416,0.000947416,0.81372549,0.028176943,0.002817694
breast-cancer.arff,286,5.655991811,10,2.302585093,0.034965035,-3.353406718,28.6,3.353406718,2,9,100,0,0,0,0,0.297202797,0.702797203,0.5,0.202797203,2,2,11,5.555555556,3.1661793,50,9,0.314685315,9,3.146853147,2,0.699300699,201,70.27972028,0.00301002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.877844695,5.21186,0.023393034,37.52590103,221.7954897,0.008610038,0.011620058,0.701724138,0.008081064,0.000808106,0.705172414,0.008135146,0.000813515,0.753448276,0.008325813,0.000832581,0.753448276,0.005074202,0.00050742,0.712068966,0.005793449,0.000579345,0.718965517,0.00728405,0.000728405,0.636206897,0.011652428,0.001165243,0.718965517,0.013656213,0.001365621,0.69137931,0.026109997,0.002611
breast-w.arff,699,6.549650742,10,2.302585093,0.014306152,-4.247065649,69.9,4.247065649,2,0,0,9,100,0,0,0.344778255,0.655221745,0.5,0.155221745,0,0,0,0,0,0,16,0.228898426,16,2.288984263,1,0.143061516,458,65.52217454,0.002306958,-0.627833821,12.5589481,-1,-1,0.591585815,3.553012848,-1,-1,2.749102301,0.52685294,3.135704094,0.009078219,-1,-1,-1,-1,-1,-1,0.011385178,0.912142857,0.008361341,0.000836134,0.920714286,0.009030454,0.000903045,0.928571429,0.010131036,0.001013104,0.921428571,0.010466973,0.001046697,0.947857143,0.011566371,0.001156637,0.943571429,0.008638855,0.000863886,0.938571429,0.00947495,0.000947495,0.962857143,0.009541664,0.000954166,0.955,0.029161861,0.002916186
breastTumor.arff,286,5.655991811,10,2.302585093,0.034965035,-3.353406718,28.6,3.353406718,2,8,88.88888889,1,11.11111111,0.125,8,0.41958042,0.58041958,0.5,0.08041958,3,2,18,5.75,5.309190145,46,9,0.314685315,9,3.146853147,2,0.699300699,166,58.04195804,0.002852907,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.98125799,4.70444,0.01979168,49.57931697,236.6976706,0.01138952,0.014242426,0.594827586,0.008718201,0.00087182,0.589655172,0.007648016,0.000764802,0.55862069,0.006855345,0.000685534,0.546551724,0.008349893,0.000834989,0.55,0.009313889,0.000931389,0.55862069,0.009978659,0.000997866,0.551724138,0.012887227,0.001288723,0.620689655,0.008142646,0.000814265,0.551724138,0.024358461,0.002435846
bridges.arff,107,4.672828834,13,2.564949357,0.121495327,-2.107879477,8.230769231,2.107879477,2,9,75,3,25,0.333333333,3,0.411214953,0.588785047,0.5,0.088785047,0,4,107,23.55555556,33.31703305,212,71,5.104241553,37,34.57943925,8,7.476635514,63,58.87850467,0.005074202,-1,-1,-1,-1,-1,-1,-1,-1,260.3951264,341.4728135,1158.444398,0.005584228,0.977134029,4.19378,0.169731175,5.756950817,23.70838812,0.012258774,0.022917205,0.618181818,0.00455115,0.000455115,0.586363636,0.00476116,0.000476116,0.763636364,0.007252865,0.000725286,0.754545455,0.008534245,0.000853424,0.786363636,0.005943457,0.000594346,0.754545455,0.006270315,0.000627032,0.745454545,0.005901218,0.000590122,0.818181818,0.007694203,0.00076942,0.704545455,0.015455908,0.001545591
cal_housing.arff,20640,9.93498622,9,2.197224577,0.000436047,-7.737761642,2293.333333,7.737761642,2,0,0,8,100,0,0,0.40625,0.59375,0.5,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,12255,59.375,0.00895545,-1.330123659,73.535007,18.97879875,23.93991018,-0.297771662,4.935499668,2.22757038,1.885218999,517.0209327,726.8828582,630.9059097,0.012249695,-1,-1,-1,-1,-1,-1,0.021205145,0.758599806,0.127429037,0.012742904,0.758599806,0.159430382,0.015943038,0.758599806,0.234519814,0.023451981,0.758599806,0.339506144,0.033950614,0.788032946,0.560876218,0.056087622,0.78997093,0.657894384,0.065789438,0.844985465,1.387718172,0.138771817,0.753439922,0.062461955,0.006246196,0.643192829,0.744004633,0.074400463
car.arff,1728,7.454719949,7,1.945910149,0.004050926,-5.5088098,246.8571429,5.5088098,2,6,100,0,0,0,0,0.299768519,0.700231481,0.5,0.200231481,0,3,4,3.5,0.5,21,0,0,0,0,0,0,1210,70.02314815,0.003258716,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.881007754,7.03623,0.060706491,14.51257916,114.9056663,0.007158518,0.010417234,0.699421965,0.007739205,0.00077392,0.699421965,0.00764091,0.000764091,0.849710983,0.008708727,0.000870873,0.849710983,0.008936107,0.000893611,0.915606936,0.009869707,0.000986971,0.904624277,0.010015767,0.001001577,0.988728324,0.012260748,0.001226075,0.883236994,0.012754194,0.001275419,0.879479769,0.054913813,0.005491381
cars.arff,406,6.00635316,9,2.197224577,0.022167488,-3.809128582,45.11111111,3.809128582,2,2,25,6,75,3,0.333333333,0.374384236,0.625615764,0.5,0.125615764,0,5,312,158.5,153.5,317,14,0.383141762,14,3.448275862,2,0.492610837,254,62.56157635,0.003612024,-1,-1,-1,-1,-1,-1,-1,-1,167.3039997,305.5783762,565.7052215,0.008311602,0.953979039,5.80653,0.458781529,2.079375429,11.6564256,0.002222875,0.014146501,0.875609756,0.009099142,0.000909914,0.842682927,0.008522797,0.00085228,0.898780488,0.01027828,0.001027828,0.834146341,0.009199805,0.00091998,0.913414634,0.009852337,0.000985234,0.893902439,0.011020028,0.001102003,0.946341463,0.011055161,0.001105516,0.798780488,0.008549246,0.000854925,0.846341463,0.01863291,0.001863291
chatfield_4.arff,235,5.459585514,13,2.564949357,0.055319149,-2.894636157,18.07692308,2.894636157,2,0,0,12,100,0,0,0.395744681,0.604255319,0.5,0.104255319,0,0,0,0,0,0,0,0,0,0,0,0,142,60.42553191,0.001598765,-1.200043592,1.965086826,0.681283881,0.781122282,0,1.299026847,0.980959942,0.322881816,45.31360086,6.923804862,202.4730857,0.010898443,-1,-1,-1,-1,-1,-1,0.012497207,0.861702128,0.006140045,0.000614005,0.863829787,0.00749564,0.000749564,0.874468085,0.007479455,0.000747945,0.863829787,0.010710538,0.001071054,0.85106383,0.009926157,0.000992616,0.861702128,0.013150924,0.001315092,0.831914894,0.010713302,0.00107133,0.844680851,0.00694377,0.000694377,0.861702128,0.015689604,0.00156896
cholesterol.arff,303,5.713732806,14,2.63905733,0.04620462,-3.074675476,21.64285714,3.074675476,2,7,53.84615385,6,46.15384615,0.857142857,1.166666667,0.452145215,0.547854785,0.5,0.047854785,3,2,5,3,1.069044968,21,6,0.141442716,6,1.98019802,2,0.660066007,166,54.78547855,0.00253039,-1,-1,-1,-1,-1,-1,-1,-1,8.792194158,8.675664856,56.39751861,0.005237237,0.993382099,5.23925,0.00695367,142.8572346,752.4504398,0.006113597,0.013881224,0.504918033,0.00668481,0.000668481,0.503278689,0.004943143,0.000494314,0.52295082,0.006030303,0.00060303,0.519672131,0.006304264,0.000630426,0.559016393,0.007199967,0.000719997,0.542622951,0.008454504,0.00084545,0.521311475,0.011167272,0.001116727,0.567213115,0.010564478,0.001056448,0.51147541,0.016605835,0.001660583
chscase_census2.arff,400,5.991464547,8,2.079441542,0.02,-3.912023005,50,3.912023005,2,0,0,7,100,0,0,0.4925,0.5075,0.5,0.0075,0,0,0,0,0,0,0,0,0,0,0,0,203,50.75,0.001634687,0.470281338,12.64774544,4.494516621,4.62048974,0.48549217,2.670675516,1.313914623,0.826900936,5.219676256,3.98717502,19.96645246,0.006856529,-1,-1,-1,-1,-1,-1,0.008491216,0.495,0.008066853,0.000806685,0.51,0.008295417,0.000829542,0.52,0.008076327,0.000807633,0.49875,0.014267296,0.00142673,0.52625,0.0123472,0.00123472,0.52625,0.021266727,0.002126673,0.5,0.020394315,0.002039431,0.475,0.007910924,0.000791092,0.525,0.017041251,0.001704125
chscase_census3.arff,400,5.991464547,8,2.079441542,0.02,-3.912023005,50,3.912023005,2,0,0,7,100,0,0,0.48,0.52,0.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,208,52,0.001457047,-0.349030471,1.542373886,0.279142507,0.559141795,-0.503002524,0.126624182,-0.039493489,0.203743605,0.09910519,0.073239471,4.233054638,0.005921745,-1,-1,-1,-1,-1,-1,0.007378792,0.50375,0.006399401,0.00063994,0.5075,0.007917635,0.000791763,0.485,0.007905397,0.00079054,0.48875,0.015724343,0.001572434,0.49,0.01668597,0.001668597,0.485,0.029720441,0.002972044,0.4875,0.024405437,0.002440544,0.49625,0.008013166,0.000801317,0.4825,0.0192661,0.00192661
chscase_census5.arff,400,5.991464547,8,2.079441542,0.02,-3.912023005,50,3.912023005,2,0,0,7,100,0,0,0.4825,0.5175,0.5,0.0175,0,0,0,0,0,0,0,0,0,0,0,0,207,51.75,0.001452705,-0.437382104,7.960341627,1.183993255,2.78477342,-1.448409677,0.294988543,-0.103145637,0.563461189,0.107195563,0.07552159,4.239122186,0.006115176,-1,-1,-1,-1,-1,-1,0.00756788,0.5475,0.006114781,0.000611478,0.53125,0.007854474,0.000785447,0.505,0.008014745,0.000801474,0.4975,0.01231325,0.001231325,0.50625,0.011456628,0.001145663,0.51,0.018718178,0.001871818,0.485,0.0194694,0.00194694,0.48625,0.007267076,0.000726708,0.50125,0.017392979,0.001739298
chscase_census6.arff,400,5.991464547,7,1.945910149,0.0175,-4.045554398,57.14285714,4.045554398,2,0,0,6,100,0,0,0.4125,0.5875,0.5,0.0875,0,0,0,0,0,0,0,0,0,0,0,0,235,58.75,0.001431388,2.989782687,44.05709811,21.21808657,14.77321222,1.733106613,5.396282196,3.602232734,1.338693387,6.465437889,2.397249933,10.87503115,0.005198551,-1,-1,-1,-1,-1,-1,0.006629939,0.58,0.005798581,0.000579858,0.5825,0.007625515,0.000762551,0.56625,0.007659464,0.000765946,0.575,0.011094242,0.001109424,0.54125,0.010862914,0.001086291,0.5675,0.017970114,0.001797011,0.51875,0.023737114,0.002373711,0.54125,0.008451346,0.000845135,0.52625,0.018376713,0.001837671
chscase_funds.arff,185,5.220355825,4,1.386294361,0.021621622,-3.834061464,46.25,3.834061464,2,1,33.33333333,2,66.66666667,2,0.5,0.47027027,0.52972973,0.5,0.02972973,0,185,185,185,0,185,0,0,0,0,0,0,98,52.97297297,0.001628766,-1.242112654,0.978296725,-0.131907964,1.11020469,-0.153294116,0.668698192,0.257702038,0.410996154,1327.130929,1325.12371,7470.267776,0.002152213,-1,-1,-1,-1,-1,-1,0.00378098,0.662162162,0.00409639,0.000409639,0.67027027,0.004971566,0.000497157,0.664864865,0.004709447,0.000470945,0.645945946,0.00480182,0.000480182,0.672972973,0.006028329,0.000602833,0.645945946,0.006555724,0.000655572,0.618918919,0.006112807,0.000611281,0.610810811,0.006628754,0.000662875,0.554054054,0.013802667,0.001380267
chscase_geyser1.arff,222,5.402677382,3,1.098612289,0.013513514,-4.304065093,74,4.304065093,2,0,0,2,100,0,0,0.396396396,0.603603604,0.5,0.103603604,0,0,0,0,0,0,0,0,0,0,0,0,134,60.36036036,0.002173925,-1.682389789,-1.192029842,-1.437209815,0.245179974,-0.594530642,-0.061459329,-0.327994986,0.266535657,4.463197529,3.381691158,7.936711907,0.002248139,-1,-1,-1,-1,-1,-1,0.004422064,0.882222222,0.004363246,0.000436325,0.875555556,0.004700368,0.000470037,0.882222222,0.004062046,0.000406205,0.877777778,0.004029281,0.000402928,0.877777778,0.004224686,0.000422469,0.877777778,0.004667603,0.00046676,0.815555556,0.004656155,0.000465616,0.875555556,0.006548619,0.000654862,0.826666667,0.013967281,0.001396728
chscase_vine2.arff,468,6.148468296,3,1.098612289,0.006410256,-5.049856007,156,5.049856007,2,0,0,2,100,0,0,0.452991453,0.547008547,0.5,0.047008547,0,0,0,0,0,0,0,0,0,0,0,0,256,54.7008547,0.00140257,-1.229999973,-1.20088821,-1.215444092,0.014555881,0,0,0,0,8.795160055,6.213171244,1006.75,0.002001811,-1,-1,-1,-1,-1,-1,0.003404382,0.659574468,0.00455865,0.000455865,0.645744681,0.004341139,0.000434114,0.738297872,0.004518385,0.000451839,0.744680851,0.004661682,0.000466168,0.767021277,0.005784764,0.000578476,0.775531915,0.00872807,0.000872807,0.85106383,0.009729173,0.000972917,0.780851064,0.007845394,0.000784539,0.742553191,0.017386269,0.001738627
chscase_whale.arff,228,5.429345629,10,2.302585093,0.043859649,-3.126760536,22.8,3.126760536,2,0,0,9,100,0,0,0.486842105,0.513157895,0.5,0.013157895,0,0,0,0,0,0,20,0.877192982,5,2.192982456,4,1.754385965,117,51.31578947,0.001441651,-1,-1,-1,-1,-1,-1,-1,-1,48.36204733,60.47553639,84.18799241,0.007931057,-1,-1,-1,-1,-1,-1,0.009372708,0.989130435,0.005062754,0.000506275,0.989130435,0.006306238,0.000630624,0.991304348,0.005535673,0.000553567,0.991304348,0.006355977,0.000635598,0.993478261,0.005468564,0.000546856,0.989130435,0.006434139,0.000643414,0.993478261,0.005420009,0.000542001,0.989130435,0.006992325,0.000699233,0.484782609,0.01443862,0.001443862
cleveland.arff,303,5.713732806,14,2.63905733,0.04620462,-3.074675476,21.64285714,3.074675476,2,7,53.84615385,6,46.15384615,0.857142857,1.166666667,0.458745875,0.541254125,0.5,0.041254125,3,2,5,3,1.069044968,21,6,0.141442716,6,1.98019802,2,0.660066007,164,54.12541254,0.002496836,-1,-1,-1,-1,-1,-1,-1,-1,17.20301025,17.36977467,97.35681457,0.005301977,0.995083759,5.23925,0.073867646,13.47117202,69.9274792,0.006087938,0.013886751,0.685245902,0.005178418,0.000517842,0.681967213,0.00561423,0.000561423,0.760655738,0.005724761,0.000572476,0.726229508,0.006724285,0.000672429,0.749180328,0.00783671,0.000783671,0.742622951,0.010074585,0.001007459,0.73442623,0.009534163,0.000953416,0.824590164,0.007327079,0.000732708,0.595081967,0.015994751,0.001599475
cmc.arff,1473,7.295056416,10,2.302585093,0.006788866,-4.992471323,147.3,4.992471323,2,7,77.77777778,2,22.22222222,0.285714286,3.5,0.427019688,0.572980312,0.5,0.072980312,3,2,4,3.142857143,0.989743319,22,0,0,0,0,0,0,844,57.29803123,0.00302581,-0.944764362,1.520347863,0.28779175,1.232556112,0.256188035,1.097894311,0.677041173,0.420853138,5.291096687,2.933353424,17.89986408,0.002064577,0.984577011,6.74197,0.010495063,93.81335118,641.3948566,0.00730063,0.012391018,0.631186441,0.006739681,0.000673968,0.631186441,0.006630728,0.000663073,0.650508475,0.010665141,0.001066514,0.644745763,0.008700043,0.000870004,0.701355932,0.01165756,0.001165756,0.704745763,0.011784277,0.001178428,0.642711864,0.025395882,0.002539588,0.637966102,0.010787911,0.001078791,0.614576271,0.037165158,0.003716516
colic.arff,368,5.908082938,23,3.135494216,0.0625,-2.772588722,16,2.772588722,2,15,68.18181818,7,31.81818182,0.466666667,2.142857143,0.369565217,0.630434783,0.5,0.130434783,1,2,197,80.13333333,56.42796785,1202,1927,22.76701323,361,98.09782609,21,5.706521739,232,63.04347826,0.003831114,-1,-1,-1,-1,-1,-1,-1,-1,12.68853509,11.09671405,31.10742167,0.00606741,0.95033767,4.93302,0.047432323,20.03565506,103.0012631,0.012901043,0.022799567,0.82972973,0.005641863,0.000564186,0.82972973,0.005742525,0.000574253,0.855405405,0.006834817,0.000683482,0.859459459,0.008980715,0.000898071,0.856756757,0.009917472,0.000991747,0.860810811,0.012085871,0.001208587,0.818918919,0.013516469,0.001351647,0.75,0.008013955,0.000801396,0.640540541,0.019231756,0.001923176
colleges_aaup.arff,1161,7.057036982,17,2.833213344,0.01464255,-4.223823638,68.29411765,4.223823638,2,3,18.75,13,81.25,4.333333333,0.230769231,0.299741602,0.700258398,0.5,0.200258398,0,4,1140,398.6666667,524.5679704,1196,256,1.29705629,87,7.493540052,6,0.516795866,813,70.02583979,0.002626316,-1,-1,-1,-1,-1,-1,-1,-1,270.4883366,618.7480802,550.7556299,0.011418337,0.880974806,6.86728,0.325054666,2.710235841,20.12653144,0.00327727,0.017321923,0.940343348,0.017834317,0.001783432,0.950214592,0.020129828,0.002012983,0.966094421,0.024262535,0.002426254,0.9527897,0.038022964,0.003802296,0.975536481,0.039246315,0.003924631,0.977253219,0.047431595,0.004743159,0.976824034,0.036655527,0.003665553,0.937339056,0.010256568,0.001025657,0.898712446,0.035691136,0.003569114
colleges_usnews.arff,1302,7.171656823,35,3.555348061,0.02688172,-3.616308761,37.2,3.616308761,2,2,5.882352941,32,94.11764706,16,0.0625,0.471582181,0.528417819,0.5,0.028417819,0,51,1274,662.5,611.5,1325,7830,17.18235681,1144,87.86482335,30,2.304147465,688,52.84178187,0.003428857,-1,-1,-1,-1,-1,-1,-1,-1,1116.655436,1669.740109,1716.368837,0.028579989,0.997668582,6.99055,0.376566408,2.64938285,17.56392239,0.002456176,0.034465022,0.691954023,0.026094601,0.00260946,0.683141762,0.036537494,0.003653749,0.716858238,0.043925366,0.004392537,0.699616858,0.075586431,0.007558643,0.711111111,0.088639061,0.008863906,0.71302682,0.144830306,0.014483031,0.648275862,0.186898341,0.018689834,0.715708812,0.012377991,0.001237799,0.6651341,0.111125191,0.011112519
collins.arff,500,6.214608098,24,3.17805383,0.048,-3.036554268,20.83333333,3.036554268,2,3,13.04347826,20,86.95652174,6.666666667,0.15,0.16,0.84,0.5,0.34,0,1,500,172,232.0014368,516,0,0,0,0,0,0,420,84,0.002278536,-1.200009672,29.31715468,3.719867228,7.294668142,-0.068052873,4.207798004,1.153827964,1.068247493,8.208852634,31.24849679,15.67371807,0.016462538,0.634309555,-1,0.293113253,2.164042561,-1,0.002785798,0.021526871,0.84,0.011974944,0.001197494,0.84,0.014755215,0.001475522,0.997,0.013048682,0.001304868,0.997,0.018584355,0.001858436,0.997,0.01260537,0.001260537,0.998,0.018610409,0.001861041,0.999,0.013221191,0.001322119,0.99,0.008561878,0.000856188,0.995,0.021381206,0.002138121
cpu.arff,209,5.342334252,8,2.079441542,0.038277512,-3.26289271,26.125,3.26289271,2,1,14.28571429,6,85.71428571,6,0.166666667,0.253588517,0.746411483,0.5,0.246411483,0,30,30,30,0,30,0,0,0,0,0,0,156,74.64114833,0.001990363,5.733633105,21.90637889,12.86000379,5.803894104,2.125268221,3.998370171,3.085775654,0.651471241,2650.138995,4277.019257,2486.021582,0.005752,-1,-1,-1,-1,-1,-1,0.007742363,0.84047619,0.004258635,0.000425864,0.85,0.004374299,0.00043743,0.921428571,0.004566545,0.000456655,0.935714286,0.005043411,0.000504341,0.976190476,0.005268817,0.000526882,0.947619048,0.005568833,0.000556883,0.969047619,0.005495803,0.00054958,0.938095238,0.007034959,0.000703496,0.973809524,0.014246769,0.001424677
cpu_act.arff,8192,9.010913347,22,3.091042453,0.002685547,-5.919870894,372.3636364,5.919870894,2,0,0,21,100,0,0,0.302368164,0.697631836,0.5,0.197631836,0,0,0,0,0,0,0,0,0,0,0,0,5715,69.76318359,0.006948902,0.901856881,617.6976321,82.64279466,144.6673358,-0.79151994,21.53808022,5.397368689,4.963389429,38446.25657,103326.0275,77422.83826,0.024048182,-1,-1,-1,-1,-1,-1,0.030997084,0.856314826,0.092286612,0.009228661,0.85271507,0.130723676,0.013072368,0.882367297,0.173413058,0.017341306,0.877974375,0.251707125,0.025170713,0.912263575,0.425968911,0.042596891,0.904209884,0.578140507,0.057814051,0.902745577,1.002904225,0.100290422,0.892312386,0.03641433,0.003641433,0.763209274,0.283468064,0.028346806
cpu_small.arff,8192,9.010913347,13,2.564949357,0.001586914,-6.44596399,630.1538462,6.44596399,2,0,0,12,100,0,0,0.302368164,0.697631836,0.5,0.197631836,0,0,0,0,0,0,0,0,0,0,0,0,5715,69.76318359,0.005034727,0.901856881,313.5570969,77.0215455,101.484706,-0.79151994,13.89530754,5.073375419,4.287186999,67241.6754,129416.8533,135460.0826,0.013489625,-1,-1,-1,-1,-1,-1,0.018524352,0.840085418,0.062561039,0.006256104,0.840085418,0.091235375,0.009123538,0.869615619,0.115281584,0.011528158,0.869371568,0.163877711,0.016387771,0.891275168,0.223516761,0.022351676,0.88981086,0.380693082,0.038069308,0.890054912,0.70950132,0.070950132,0.818547895,0.038249159,0.003824916,0.762965223,0.257971519,0.025797152
credit-a.arff,690,6.536691598,16,2.772588722,0.023188406,-3.764102875,43.125,3.764102875,2,9,60,6,40,0.666666667,1.5,0.444927536,0.555072464,0.5,0.055072464,3,2,23,9.111111111,7.340064251,82,67,0.606884058,37,5.362318841,7,1.014492754,383,55.50724638,0.003442278,-1,-1,-1,-1,-1,-1,-1,-1,900.8515307,1926.428645,207.0584282,0.006022408,0.991230899,5.42986,0.062530417,15.8519796,85.83550106,0.009389682,0.018854369,0.862318841,0.00760854,0.000760854,0.862318841,0.008430424,0.000843042,0.862318841,0.009983791,0.000998379,0.862318841,0.012347594,0.001234759,0.855797101,0.015076942,0.001507694,0.842028986,0.025240742,0.002524074,0.808695652,0.029194231,0.002919423,0.796376812,0.010231304,0.00102313,0.65,0.033823147,0.003382315
credit-g.arff,1000,6.907755279,21,3.044522438,0.021,-3.863232841,47.61904762,3.863232841,2,13,65,7,35,0.538461538,1.857142857,0.3,0.7,0.5,0.2,2,2,10,4.153846154,1.955117696,54,0,0,0,0,0,0,700,70,0.004416538,-1.380544905,4.265164053,0.913668794,1.77655193,-0.530551016,1.946702242,0.918997977,0.903594091,406.8439828,985.7192002,476.5838654,0.007196414,0.881290899,6.15218,0.014012887,62.89145688,438.0371622,0.014691265,0.026304217,0.7,0.009292967,0.000929297,0.7,0.011350834,0.001135083,0.715,0.012434441,0.001243444,0.7135,0.015933959,0.001593396,0.727,0.019657699,0.00196577,0.718,0.023868963,0.002386896,0.6795,0.042713857,0.004271386,0.726,0.01324764,0.001324764,0.6155,0.042750175,0.004275018
cylinder-bands.arff,540,6.29156914,40,3.688879454,0.074074074,-2.602689685,13.5,2.602689685,2,21,53.84615385,18,46.15384615,0.857142857,1.166666667,0.422222222,0.577777778,0.5,0.077777778,0,1,429,64.14285714,105.4727614,1347,999,4.625,263,48.7037037,28,5.185185185,312,57.77777778,0.005654495,-1,-1,-1,-1,-1,-1,-1,-1,506.4900643,1993.667961,2198.883073,0.018203415,0.982474087,5.93487,0.087401097,11.24098113,66.90378671,0.026612127,0.050470037,0.70462963,0.009911946,0.000991195,0.7,0.011654402,0.00116544,0.682407407,0.016971379,0.001697138,0.685185185,0.025964726,0.002596473,0.74537037,0.02193426,0.002193426,0.702777778,0.034737404,0.00347374,0.746296296,0.04684696,0.004684696,0.697222222,0.018526721,0.001852672,0.761111111,0.044058004,0.0044058
datatrieve.arff,130,4.86753445,9,2.197224577,0.069230769,-2.670309873,14.44444444,2.670309873,2,0,0,8,100,0,0,0.084615385,0.915384615,0.5,0.415384615,0,0,0,0,0,0,0,0,0,0,0,0,119,91.53846154,0.001539551,-1.976190334,6.576422172,3.312418399,2.673705339,0.154303551,2.033634901,1.511539385,0.570087184,335.612471,367.880843,357.7903831,0.007664596,-1,-1,-1,-1,-1,-1,0.009204147,0.930769231,0.006842712,0.000684271,0.915384615,0.008406738,0.000840674,0.911538462,0.006055568,0.000605557,0.903846154,0.006196101,0.00061961,0.880769231,0.006288474,0.000628847,0.880769231,0.007081935,0.000708193,0.853846154,0.006536381,0.000653638,0.8,0.012565895,0.001256589,0.876923077,0.015918563,0.001591856
